Date Time,Date,Time,Person ID,Name,Surname,DOB,Gender,Class,Device ID,Location,Long,Lat,Zone,Grant
TIMESTAMP,Date,Time,Float,String,String,Date,String,String,Float,String,DOUBLE,DOUBLE,String,String
11/6/18 17:51,6/11/18,17:51:35,1549099281,Mrs O Twycross,Twycross,8/5/39,F,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/6/18 19:07,6/11/18,19:07:20,1567130125,Miss G Reid,Reid,9/25/36,F,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/9/18 18:25,9/11/18,18:25:06,1579016627,Mr O E Wiseman,Wiseman,4/7/37,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/8/18 9:33,8/11/18,9:33:37,1613625268,Mr P R Bain,Bain,4/21/41,M,Grade 4,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/7/18 15:51,7/11/18,15:51:57,1615781226,Ms V Knox,Knox,12/13/31,F,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/10/18 6:44,10/11/18,6:44:25,1800912123,Mr C M Black,Black,4/26/37,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/7/18 13:56,7/11/18,13:56:08,1823075023,Mr H I Green,Green,10/30/41,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/9/18 6:17,9/11/18,6:17:55,1838143550,Mrs M Davidson,Davidson,7/14/37,F,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/7/18 15:29,7/11/18,15:29:26,1838752376,Mrs K J Davidson,Davidson,4/17/42,F,Grade 4,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/10/18 12:02,10/11/18,12:02:02,1848528485,Mr B E Masson,Masson,4/24/42,M,Grade 6,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/9/18 9:41,9/11/18,9:41:13,1845571868,Ms M J Murphy,Murphy,7/22/40,F,Grade 7,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/8/18 7:23,8/11/18,7:23:20,1848765061,Mr H F Macelwee,Macelwee,11/26/39,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/8/18 19:29,8/11/18,19:29:52,1852208529,Mr L G Freeman,Freeman,1/31/39,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/11/18 14:25,11/11/18,14:25:42,1548978048,Ms E Tait,Tait,8/25/34,F,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/7/18 7:49,7/11/18,7:49:28,1566910436,Mr L Marshall,Marshall,3/10/35,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/8/18 10:55,8/11/18,10:55:38,1579016627,Mr O E Wiseman,Wiseman,4/7/37,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/9/18 10:20,9/11/18,10:20:48,1823075023,Mr H I Green,Green,10/30/41,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/6/18 17:59,6/11/18,17:59:55,1831989496,Miss C M Donaldson,Donaldson,4/25/40,F,Grade 3,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/6/18 13:41,6/11/18,13:41:53,1838752376,Mrs K J Davidson,Davidson,4/17/42,F,Grade 4,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/7/18 10:44,7/11/18,10:44:23,1848478194,Mr F G Pirie,Pirie,11/26/41,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
11/11/18 8:36,11/11/18,8:36:32,1848765061,Mr H F Macelwee,Macelwee,11/26/39,M,Visitor,30010,4 Victoria Square,51.7491555,-0.32824,A,Accepted
